ID_Penumpang,Selamat,Kelas_Tiket,Nama,Jenis_Kelamin,Usia,Saudara_Spouse,Orangtua_Anak,Tiket,Harga_Tiket,Kabin,Pelabuhan_Naik
70,1,3,Mira Prasetyo,pria,24.0,0,2,TKT-70901,67.35,E,Southampton
71,1,3,Uli Primadi,pria,21.0,1,2,TKT-97500,98.25,,Southampton
72,1,1,Rizal Nugroho,wanita,32.0,0,1,TKT-79616,91.3,D,Southampton
73,0,3,Sari Santoso,wanita,34.0,2,1,TKT-83259,68.2,D,Queenstown
74,1,2,Wawan Pratama,wanita,53.0,0,0,TKT-88047,72.39,D,Southampton
75,0,3,Zara Nugroho,wanita,41.0,0,0,TKT-51588,14.64,,Queenstown
76,1,1,Dewi Ramadhan,pria,23.0,1,0,TKT-68008,70.29,F,Southampton
77,1,3,Nadia Wahyudi,wanita,19.0,1,0,TKT-90301,13.97,E,Queenstown
78,1,2,Oka Santoso,wanita,36.0,2,1,TKT-76162,62.94,C,Southampton
79,0,3,Yudi Nugroho,wanita,14.0,0,2,TKT-65933,99.94,C,Queenstown
80,1,1,Rizal Wahyudi,wanita,52.0,0,1,TKT-81810,60.02,,Cherbourg
81,0,2,Rizal Pratama,wanita,44.0,0,0,TKT-68446,52.59,B,Southampton
82,1,1,Vina Ramadhan,pria,24.0,2,1,TKT-30861,38.16,,Southampton
83,0,3,Vina Zulkarnain,pria,9.0,2,2,TKT-72216,20.85,A,Queenstown
84,1,3,Uli Setiawan,wanita,46.0,1,2,TKT-68991,75.79,C,Queenstown
85,0,2,Erik Putra,pria,29.0,1,1,TKT-43972,27.33,D,Southampton
86,0,3,Sari Zulkarnain,wanita,45.0,1,1,TKT-42406,20.38,B,Cherbourg
87,1,3,Adi Anggara,wanita,11.0,0,1,TKT-93579,47.96,,Queenstown
88,0,3,Kristi Halim,pria,23.0,0,0,TKT-46347,81.58,D,Queenstown
89,1,3,Adi Pratama,pria,30.0,1,1,TKT-78327,77.06,E,Queenstown
90,1,2,Lina Ramadhan,wanita,31.0,0,1,TKT-73517,14.94,E,Cherbourg
91,1,1,Hendra Hartono,wanita,25.0,1,1,TKT-92149,50.96,F,Southampton
92,1,3,Citra Wijaya,wanita,37.0,2,2,TKT-41358,57.02,D,Southampton
93,1,3,Yudi Halim,pria,17.0,1,2,TKT-45992,68.01,C,Southampton
94,1,3,Citra Salim,wanita,28.0,2,0,TKT-67654,68.52,A,Cherbourg
95,1,2,Zara Saputra,wanita,31.0,0,0,TKT-20155,42.82,D,Cherbourg
96,1,2,Erik Halim,wanita,36.0,1,2,TKT-47450,60.46,,Southampton
97,1,3,Sari Wahyudi,pria,39.0,0,2,TKT-40735,53.3,C,Queenstown
98,1,3,Intan Zulkarnain,wanita,17.0,2,2,TKT-45614,89.65,B,Cherbourg
99,1,3,Uli Utama,wanita,12.0,2,1,TKT-54020,57.72,D,Southampton
100,0,3,Zara Setiawan,pria,45.0,2,1,TKT-51904,49.69,B,Southampton
101,0,3,Xena Ramadhan,wanita,34.0,0,2,TKT-80798,46.4,C,Southampton
102,1,1,Oka Zulkarnain,wanita,21.0,0,1,TKT-20561,61.52,,Southampton
103,1,1,Oka Pratama,pria,49.0,0,1,TKT-28136,82.36,C,Southampton
104,1,3,Citra Hidayat,wanita,31.0,0,0,TKT-29769,58.46,C,Southampton
105,1,3,Adi Hartono,pria,44.0,2,2,TKT-40311,69.55,C,Southampton
106,1,1,Tata Kusuma,pria,31.0,2,2,TKT-60205,76.41,E,Southampton
107,1,1,Xena Susanto,wanita,55.0,1,1,TKT-30028,56.82,F,Southampton
108,1,3,Hendra Wijaya,wanita,51.0,1,2,TKT-38043,48.41,C,Southampton
109,1,1,Budi Hidayat,wanita,27.0,0,0,TKT-18418,88.9,E,Cherbourg
110,0,1,Citra Zulkarnain,wanita,42.0,2,0,TKT-64377,47.58,A,Southampton
111,1,3,Hendra Nugroho,pria,38.0,2,0,TKT-63424,51.57,E,Queenstown
112,0,3,Wawan Halim,wanita,46.0,2,2,TKT-53369,99.13,B,Queenstown
113,1,3,Erik Hartono,pria,18.0,1,2,TKT-81121,10.02,A,Southampton
114,1,2,Tata Halim,wanita,38.0,1,2,TKT-71069,26.69,B,Southampton
115,0,3,Hendra Halim,wanita,43.0,2,2,TKT-64496,44.56,F,Southampton
116,1,2,Nadia Setiawan,wanita,9.0,2,2,TKT-18161,93.93,D,Southampton
117,0,2,Dewi Pratama,pria,16.0,2,0,TKT-37110,16.3,D,Cherbourg
118,1,3,Lina Utama,wanita,6.0,1,1,TKT-65069,10.85,E,Southampton
119,1,3,Nadia Primadi,wanita,27.0,2,0,TKT-61049,14.74,,Southampton
120,0,3,Yudi Susanto,wanita,39.0,2,2,TKT-86556,17.97,B,Southampton
121,1,3,Budi Prasetyo,wanita,48.0,0,0,TKT-12560,13.38,F,Southampton
122,0,3,Yudi Hidayat,pria,31.0,0,2,TKT-85456,53.18,D,Cherbourg
123,1,1,Dewi Kusuma,wanita,50.0,1,2,TKT-59857,62.27,F,Southampton
124,0,2,Gita Setiawan,pria,13.0,2,0,TKT-72518,34.45,F,Southampton
125,0,2,Sari Primadi,pria,10.0,2,2,TKT-10772,45.85,D,Southampton
126,1,2,Erik Utama,pria,29.0,0,1,TKT-56105,18.25,D,Queenstown
127,1,3,Fajar Nugroho,pria,35.0,1,2,TKT-49139,40.27,,Southampton
128,0,2,Oka Kusuma,pria,30.0,0,1,TKT-61116,57.03,A,Southampton
129,1,3,Citra Primadi,pria,5.0,0,1,TKT-64921,75.9,A,Cherbourg
130,1,3,Budi Salim,wanita,29.0,0,2,TKT-80545,10.3,C,Southampton
131,1,3,Zara Kusuma,pria,14.0,0,0,TKT-81582,52.06,B,Queenstown
132,0,3,Fajar Utama,pria,38.0,2,1,TKT-89069,36.73,D,Cherbourg
133,0,3,Putri Halim,pria,34.0,2,0,TKT-38906,86.75,F,Cherbourg
134,0,2,Gita Prasetyo,wanita,19.0,0,1,TKT-73993,74.4,B,Cherbourg
135,0,1,Budi Wahyudi,wanita,24.0,1,2,TKT-38760,63.02,C,Queenstown
136,0,3,Mira Santoso,pria,17.0,1,2,TKT-45774,34.95,F,Queenstown
137,0,2,Oka Ramadhan,wanita,29.0,1,1,TKT-67125,91.93,E,Cherbourg
138,0,1,Nadia Salim,pria,41.0,1,2,TKT-73654,14.06,C,Cherbourg
139,0,3,Joko Setiawan,pria,18.0,0,1,TKT-13804,19.85,D,Southampton
140,0,1,Budi Hartono,wanita,36.0,2,2,TKT-60968,45.25,E,Southampton
141,1,3,Budi Susanto,pria,24.0,1,0,TKT-54057,21.2,E,Southampton
142,0,3,Rizal Zulkarnain,wanita,20.0,0,2,TKT-97670,96.08,C,Southampton
143,1,3,Fajar Susanto,wanita,29.0,1,0,TKT-99016,81.82,D,Southampton
144,1,2,Rizal Wijaya,pria,18.0,1,2,TKT-62994,33.31,F,Southampton
145,1,1,Fajar Wijaya,pria,23.0,0,0,TKT-31632,62.97,E,Southampton
146,0,3,Wawan Kusuma,wanita,16.0,2,2,TKT-71261,98.41,C,Cherbourg
147,0,2,Tata Anggara,pria,54.0,2,0,TKT-26728,89.58,C,Queenstown
148,0,3,Budi Anggara,pria,30.0,0,1,TKT-91560,64.07,F,Southampton
149,0,3,Citra Utama,pria,22.0,2,1,TKT-80008,91.34,D,Southampton
150,1,3,Wawan Hartono,wanita,33.0,0,0,TKT-13534,99.03,C,Queenstown
151,0,2,Tata Zulkarnain,wanita,29.0,0,2,TKT-61645,76.9,C,Southampton
152,0,2,Gita Hidayat,pria,27.0,0,0,TKT-87580,15.85,C,Queenstown
153,0,3,Mira Saputra,wanita,37.0,2,2,TKT-83975,46.14,B,Southampton
154,0,2,Wawan Ramadhan,wanita,39.0,0,1,TKT-96900,85.4,A,Southampton
155,0,1,Oka Hidayat,wanita,24.0,1,2,TKT-13552,30.75,F,Queenstown
156,1,3,Zara Wijaya,wanita,23.0,2,1,TKT-21003,84.76,B,Southampton
157,0,3,Adi Primadi,wanita,27.0,2,2,TKT-94246,20.83,C,Cherbourg
158,1,3,Uli Hartono,pria,2.0,2,2,TKT-66179,14.23,A,Queenstown
159,0,3,Sari Setiawan,pria,12.0,2,2,TKT-27786,44.57,F,Southampton
160,1,1,Uli Zulkarnain,pria,46.0,1,0,TKT-70515,13.31,E,Cherbourg
161,0,3,Joko Pratama,wanita,50.0,2,0,TKT-33819,96.15,,Queenstown
162,0,3,Joko Anggara,wanita,27.0,2,1,TKT-16590,84.36,F,Southampton
163,1,1,Gita Nugroho,pria,37.0,0,1,TKT-44099,82.07,B,Queenstown
164,1,3,Intan Susanto,wanita,34.0,2,0,TKT-59689,66.68,B,Southampton
165,1,3,Adi Hidayat,pria,67.0,1,1,TKT-52906,29.47,B,Cherbourg
166,0,3,Vina Nugroho,pria,43.0,1,0,TKT-37742,56.64,F,Cherbourg
167,1,3,Sari Utama,pria,28.0,1,2,TKT-69598,63.75,D,Southampton
168,0,3,Xena Saputra,wanita,19.0,1,1,TKT-52840,57.25,C,Queenstown
169,0,2,Sari Susanto,wanita,11.0,2,1,TKT-54236,33.42,F,Queenstown
170,1,2,Sari Saputra,pria,32.0,2,0,TKT-59692,56.37,E,Cherbourg
171,1,3,Nadia Saputra,pria,21.0,1,1,TKT-46471,54.21,,Cherbourg
172,0,3,Budi Ramadhan,pria,13.0,1,1,TKT-65255,99.67,E,Cherbourg
173,0,3,Lina Susanto,pria,22.0,2,2,TKT-43065,90.77,E,Southampton
174,1,3,Lina Salim,wanita,17.0,1,1,TKT-20735,51.7,C,Cherbourg
175,1,3,Nadia Anggara,wanita,50.0,0,2,TKT-71644,66.06,A,Southampton
176,1,3,Yudi Saputra,pria,41.0,1,0,TKT-12540,77.31,,Southampton
177,0,3,Hendra Wahyudi,pria,30.0,1,1,TKT-80702,13.14,B,Cherbourg
178,0,3,Adi Wahyudi,wanita,48.0,0,2,TKT-16826,90.54,C,Southampton
179,0,3,Intan Wahyudi,wanita,31.0,0,0,TKT-55870,87.41,B,Southampton
180,0,3,Xena Pratama,pria,20.0,2,1,TKT-39389,51.17,C,Southampton
181,0,3,Mira Susanto,pria,48.0,2,0,TKT-95215,45.21,B,Southampton
182,0,2,Putri Kusuma,pria,36.0,0,1,TKT-18993,34.57,C,Cherbourg
183,1,2,Gita Primadi,wanita,18.0,0,0,TKT-95426,52.9,A,Southampton
184,0,1,Adi Setiawan,wanita,28.0,2,0,TKT-15276,13.99,F,Cherbourg
185,0,3,Mira Hidayat,wanita,19.0,1,2,TKT-14067,86.7,E,Southampton
186,0,1,Lina Zulkarnain,pria,13.0,0,0,TKT-42411,13.19,B,Cherbourg
187,1,2,Mira Salim,pria,41.0,2,1,TKT-36130,39.61,C,Southampton
188,0,3,Kristi Santoso,wanita,53.0,1,1,TKT-12671,93.84,A,Southampton
189,0,2,Dewi Nugroho,wanita,13.0,0,2,TKT-91439,76.17,A,Cherbourg
190,1,3,Fajar Hartono,pria,37.0,1,1,TKT-29973,35.33,E,Queenstown
191,0,1,Dewi Anggara,wanita,22.0,2,1,TKT-41266,32.74,C,Southampton
192,0,1,Nadia Putra,wanita,24.0,0,1,TKT-26544,10.46,F,Southampton
193,0,3,Mira Hartono,pria,23.0,1,0,TKT-72070,72.61,B,Southampton
194,0,2,Budi Utama,wanita,20.0,0,0,TKT-97747,14.39,F,Southampton
195,0,1,Adi Zulkarnain,pria,31.0,1,1,TKT-24993,57.93,,Cherbourg
196,1,3,Uli Hidayat,pria,20.0,2,2,TKT-83920,96.59,,Southampton
197,1,3,Yudi Ramadhan,pria,33.0,2,0,TKT-38569,19.85,D,Southampton
198,1,2,Rizal Ramadhan,pria,29.0,0,2,TKT-70952,90.5,A,Southampton
199,0,3,Gita Utama,pria,27.0,1,1,TKT-43586,99.23,,Southampton
200,0,1,Wawan Prasetyo,pria,19.0,0,1,TKT-58351,15.54,A,Southampton
